Linha,Linha nome,Itinerário,Sentido
1,SERTAO DO CAMPO / PASSAGEM DO MACIAMBU,ITI IDA - SERTÃO / PASSAGEM,PC1
1,SERTAO DO CAMPO / PASSAGEM DO MACIAMBU,ITI IDA - TRÊS BARRAS / PASSAG,PC1
1,SERTAO DO CAMPO / PASSAGEM DO MACIAMBU,ITI VOLTA - COLEGIO DO,PC2
1,SERTAO DO CAMPO / PASSAGEM DO MACIAMBU,ITI VOLTA - COLEGIO MORRETES,PC2
1,SERTAO DO CAMPO / PASSAGEM DO MACIAMBU,ITI VOLTA - PASSAG / MAC PEQ,PC2
1,SERTAO DO CAMPO / PASSAGEM DO MACIAMBU,ITI VOLTA - PASSAG MAC /,PC2
2,PASSAGEM MACIAMBU / RINCÃO VIA PINHEIRA/GUARDA,ITI IDA - PASSAG MACIAMBU /,PC1
2,PASSAGEM MACIAMBU / RINCÃO VIA PINHEIRA/GUARDA,ITI VOLTA - COLÉGIO PINHEIRA /,PC2
5,RINCAO / COLEGIO MORRETES,ITI VOLTA - COLÉGIO MORRETES,PC2
9,ARIRIU FORMIGA / COLEGIO ENSEADA,ITI IDA - ARIRIU FORMIGA /,PC1
9,ARIRIU FORMIGA / COLEGIO ENSEADA,ITI IDA - PONTAL / COLÉGIO,PC1
9,ARIRIU FORMIGA / COLEGIO ENSEADA,ITI VOLTA - COLÉGIO ENSEADA /,PC2
11,MACIAMBU PEQUENO / MORRETES,ITI IDA - VIAD. MACIAMBU / COL,PC1
11,MACIAMBU PEQUENO / MORRETES,ITI IDA - VIAD. MACIAMBU / COL.,PC1
11,MACIAMBU PEQUENO / MORRETES,ITI VOLTA - COL PINHEIRA / MAC,PC2
11,MACIAMBU PEQUENO / MORRETES,ITI VOLTA - COL. MORRETES /,PC2
12,VIADUTODOFURADINHO/VIADUTODOMACIAMBU,ITI IDA - ARIRIU FORMIGA /,PC1
12,VIADUTODOFURADINHO/VIADUTODOMACIAMBU,ITI IDA - VIAD FURADINHO /,PC1
12,VIADUTODOFURADINHO/VIADUTODOMACIAMBU,ITI IDA - VIAD FURADINHO / COL,PC1
12,VIADUTODOFURADINHO/VIADUTODOMACIAMBU,ITI VOLTA - COL PINHEIRA /,PC2
12,VIADUTODOFURADINHO/VIADUTODOMACIAMBU,ITI VOLTA - COL PINHEIRA / COL,PC2
12,VIADUTODOFURADINHO/VIADUTODOMACIAMBU,ITI VOLTA - RINCÃO / VIADUTO,PC2
13,ENSEADADOBRITO/ PONTE DO IMARUIM,ITI - VOLTA - PONTE DO,PC2
13,ENSEADADOBRITO/ PONTE DO IMARUIM,ITI IDA - ENSEADA / PONTE DO,PC1
13,ENSEADADOBRITO/ PONTE DO IMARUIM,ITI IDA - ENSEADA/PONTE DO,PC1
